,Jugador,POS,Equipo,Cotización,CG,AcG,PrG,CT,AcT,PrT,GT,GJ,GC,TL,GP,GV,GO,GR,GE,VF,VI,TA,TR,PE,PA,Fecha,Puntaje
0,"Carranza, Jorge",ARQ,Aldosivi,$ 2.000.000,12,64,"5,33",15,84,"5,60",0,0,0,0,0,0,0,16,0,0,6,1,0,0,0,1,9
1,"González Carrizo, Nahuel",ARQ,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
2,"Moyano, Sebastián",ARQ,Aldosivi,$ 1.500.000,,,,,,,,,,,,,,,,,,,,,,1,
3,"Breitenbruch, Néstor",DEF,Aldosivi,$ 1.500.000,,,,,,,,,,,,,,,,,,,,,,1,
4,"Cabral, Jonathan",DEF,Aldosivi,$ 2.300.000,10,47,"4,70",11,54,"4,91",0,0,0,0,0,0,0,,0,0,6,5,1,0,,1,7
5,"Cerato, Giuliano",DEF,Aldosivi,$ 1.200.000,11,78,"7,09",14,94,"6,71",2,2,0,0,0,1,0,,1,1,6,7,0,0,,1,5
6,"García, Martín",DEF,Aldosivi,$ 300.000,4,19,"4,75",5,26,"5,20",0,0,0,0,0,0,0,,0,0,4,1,0,0,,1,7
7,"González, Ariel",DEF,Aldosivi,$ 400.000,,,,,,,,,,,,,,,,,,,,,,1,
8,"González, Rodrigo",DEF,Aldosivi,$ 800.000,6,32,"5,33",9,52,"5,78",0,0,0,0,0,0,0,,0,0,5,1,1,0,,1,8
9,"Kummer, Tomás",DEF,Aldosivi,$ 400.000,2,8,"4,00",4,21,"5,25",0,0,0,0,0,0,0,,0,0,1,0,0,0,,1,
10,"Laquidain, Santiago",DEF,Aldosivi,$ 600.000,2,10,"5,00",2,10,"5,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,
11,"Mottes, Gonzalo",DEF,Aldosivi,$ 1.100.000,4,17,"4,25",7,35,"5,00",0,0,0,0,0,0,0,,0,0,6,3,0,0,,1,5
12,"Moya, Santiago",DEF,Aldosivi,$ 800.000,6,36,"6,00",6,36,"6,00",0,0,0,0,0,0,0,,0,0,3,2,0,0,,1,
13,"Paredes, Gabriel",DEF,Aldosivi,$ 500.000,,,,,,,,,,,,,,,,,,,,,,1,
14,"Román, Fernando",DEF,Aldosivi,$ 800.000,7,38,"5,43",7,38,"5,43",0,0,0,0,0,0,0,,0,0,3,2,0,0,,1,
15,"Bochi, Roberto",VOL,Aldosivi,$ 1.700.000,11,49,"4,45",14,59,"4,21",0,0,0,0,0,0,0,,0,0,,7,0,0,,1,3
16,"Chávez, Lautaro",VOL,Aldosivi,$ 700.000,1,4,"4,00",2,9,"4,50",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
17,"Esponda, Marcelo",VOL,Aldosivi,$ 800.000,1,5,"5,00",1,5,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
18,"Falasco, Lucio",VOL,Aldosivi,$ 400.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
19,"García, Matías",VOL,Aldosivi,$ 1.700.000,4,20,"5,00",5,25,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,5
20,"Gino, Federico",VOL,Aldosivi,$ 1.000.000,9,50,"5,56",12,66,"5,50",1,0,0,0,1,1,1,,0,1,,7,0,0,,1,6
21,"Guerrico, Ignacio",VOL,Aldosivi,$ 600.000,6,26,"4,33",9,42,"4,67",0,0,0,0,0,0,0,,0,0,,2,0,0,,1,6
22,"Leiva, Tobías",VOL,Aldosivi,$ 1.000.000,1,2,"2,00",1,2,"2,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
23,"Ludueña, Lautaro",VOL,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
24,"Serrago, Tiago",VOL,Aldosivi,$ 800.000,12,75,"6,25",15,100,"6,67",1,1,0,0,0,1,0,,0,3,,3,0,0,,1,11
25,"Cervera, Tobías",DEL,Aldosivi,$ 1.000.000,8,42,"5,25",9,47,"5,22",1,1,0,0,0,0,0,,0,0,,2,0,0,,1,
26,"De La Vega, Facundo",DEL,Aldosivi,$ 400.000,6,26,"4,33",7,30,"4,29",0,0,0,0,0,0,0,,0,0,,2,0,0,,1,
27,"Giani, Justo",DEL,Aldosivi,$ 1.400.000,11,78,"7,09",14,93,"6,64",2,1,1,0,0,1,0,,0,2,,4,0,0,,1,4
28,"Guzmán, Natanael",DEL,Aldosivi,$ 700.000,6,31,"5,17",6,31,"5,17",1,1,0,0,0,0,0,,0,0,,1,0,0,,1,
29,"Juárez, David",DEL,Aldosivi,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
30,"Palavecino, Agustín",DEL,Aldosivi,$ 700.000,5,29,"5,80",7,40,"5,71",1,0,1,0,0,0,0,,0,0,,1,0,0,,1,6
31,"Preciado, Ayrton",DEL,Aldosivi,$ 3.000.000,5,24,"4,80",7,34,"4,86",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,5
32,"Rami, Franco",DEL,Aldosivi,$ 400.000,5,23,"4,60",6,28,"4,67",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
33,"Rodríguez, Emiliano",DEL,Aldosivi,$ 800.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
34,"Villarreal, Alejandro",DEL,Aldosivi,$ 1.000.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
35,Estadísticas totales de Aldosivi:,,,$ 33.200.000,157,842,"5,36",197,1070,"5,43",9,6,2,0,1,4,1,16,1,7,40,52,2,0,0,1,87
36,"Rodríguez, Diego",ARQ,Argentinos,$ 4.800.000,9,57,"6,33",12,88,"7,33",0,0,0,0,0,0,0,8,0,1,7,0,0,0,1,1,9
37,"Romero, Sergio",ARQ,Argentinos,$ 3.500.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,
38,"Siri Payer, Gonzalo",ARQ,Argentinos,$ 300.000,2,9,"4,50",2,9,"4,50",0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,
39,"Álvarez, Francisco",DEF,Argentinos,$ 2.100.000,8,38,"4,75",11,54,"4,91",0,0,0,0,0,0,0,,0,0,6,2,2,0,,1,4
40,"Antoni, Mateo",DEF,Argentinos,$ 2.200.000,1,7,"7,00",1,7,"7,00",0,0,0,0,0,0,0,,0,0,1,0,0,0,,1,
41,"Bravo, Claudio",DEF,Argentinos,$ 1.200.000,3,14,"4,67",3,14,"4,67",0,0,0,0,0,0,0,,0,0,2,0,1,0,,1,
42,"Coronel, Kevin",DEF,Argentinos,$ 300.000,1,6,"6,00",1,6,"6,00",0,0,0,0,0,0,0,,0,0,0,0,0,0,,1,
43,"Godoy, Erik",DEF,Argentinos,$ 2.600.000,11,71,"6,45",14,85,"6,07",1,0,1,0,0,0,0,,0,0,6,5,0,0,,1,5
44,"Lozano, Leandro",DEF,Argentinos,$ 1.900.000,11,68,"6,18",14,85,"6,07",0,0,0,0,0,0,0,,0,0,7,1,0,0,,1,7
45,"Prieto, Sebastián",DEF,Argentinos,$ 1.800.000,11,64,"5,82",14,95,"6,79",1,1,0,0,0,1,0,,0,0,7,3,0,0,,1,7
46,"Ramírez Cardozo, Tobías",DEF,Argentinos,$ 900.000,3,19,"6,33",3,19,"6,33",0,0,0,0,0,0,0,,0,0,1,0,0,0,,1,
47,"Riquelme, Román",DEF,Argentinos,$ 900.000,2,17,"8,50",2,17,"8,50",0,0,0,0,0,0,0,,0,0,4,1,0,0,,1,
48,"Silveira, Santiago",DEF,Argentinos,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
49,"Sánchez, Luciano",DEF,Argentinos,$ 900.000,,,,,,,,,,,,,,,,,,,,,,1,
50,"Yáñez, Thiago",DEF,Argentinos,$ 300.000,,,,,,,,,,,,,,,,,,,,,,1,
51,"Bouhier, Gastón",VOL,Argentinos,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
52,"Cardozo, Juan José",VOL,Argentinos,$ 1.300.000,3,15,"5,00",3,15,"5,00",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,
53,"Carrizo, Facundo",VOL,Argentinos,$ 300.000,,,,,,,0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
54,"Fattori, Federico",VOL,Argentinos,$ 3.300.000,8,49,"6,13",11,65,"5,91",0,0,0,0,0,0,0,,0,2,,2,1,0,,1,6
55,"Ferreira, Cristian",VOL,Argentinos,$ 2.500.000,,,,,,,,,,,,,,,,,,,,,,1,
56,"Florentín, Gabriel",VOL,Argentinos,$ 2.800.000,1,12,"12,00",1,12,"12,00",1,1,0,0,0,0,0,,0,0,,0,0,0,,1,
57,"Gho, Joaquín",VOL,Argentinos,$ 1.000.000,3,15,"5,00",4,20,"5,00",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
58,"Gómez, Lucas",VOL,Argentinos,$ 500.000,5,26,"5,20",5,26,"5,20",0,0,0,0,0,0,0,,0,0,,0,0,0,,1,
59,"Lescano, Alan",VOL,Argentinos,$ 3.200.000,11,85,"7,73",13,94,"7,23",3,3,0,0,0,0,0,,0,2,,5,0,0,,1,3
60,"López Muñoz, Hernán",VOL,Argentinos,$ 4.700.000,10,89,"8,90",12,97,"8,08",3,2,1,0,0,2,0,,0,2,,1,0,0,,1,
61,"Oroz, Nicolás",VOL,Argentinos,$ 2.500.000,11,66,"6,00",14,81,"5,79",1,1,0,0,0,0,0,,0,0,,0,0,0,,1,5
62,"Viveros, Emiliano",VOL,Argentinos,$ 500.000,8,42,"5,25",11,56,"5,09",0,0,0,0,0,0,0,,0,0,,1,0,0,,1,5
